"","Country","bicy","acar","mcyc","pcar","boat","wigc"
"1","Afghanistan",30,5.8,35.2,11.8,0,0.1
"2","Albania",26.4,3.2,9.6,37,0.7,0.1
"3","Angola",4.6,1.3,17.8,10.9,0.4,0.3
"4","Armenia",8.6,0.4,0.2,39.2,0.3,0.1
"5","Azerbaijan",6.9,3.3,1.1,20.4,0.1,0
"6","Bangladesh",25.1,0,6.4,0.8,0,0.3
"7","Benin",19.4,3.2,56.1,4.2,0.2,0.3
"8","Bolivia",36.6,0,6.5,15.6,0,0
"9","Brazil",0,0,0,30.2,0,0
"10","Burkina Faso",82,38.6,58.2,3,0,0.2
"11","Burundi",20.7,0.2,2.2,1.1,0.2,0.3
"12","Cambodia",64.2,12.3,68,14.1,4.1,0.2
"13","Cameroon",10.7,1.3,21.4,6.7,0.2,0.4
"14","Central African Republic",11.5,0,4.5,1.4,0,0
"15","Chad",26.1,10.6,15.9,2,0.1,0.1
"16","Colombia",33.5,0,26.9,17.1,0,0.1
"17","Comoros",5.1,0.4,5.5,11.5,1,0.2
"18","Congo",5.3,0,4.8,4.1,0.3,0.3
"19","Congo Democratic Republic",24.1,0.1,5.1,1.4,0,0.4
"20","Cote d'Ivoire",39.2,1.6,19.3,3.3,0,0.3
"21","Dominican Republic",2.4,0,28.7,18.5,0,0.2
"22","Egypt",6.1,4.8,8.1,8.7,0,0.1
"23","Eritrea",10.5,0,0.2,3.3,0,0
"24","Eswatini",9.5,2.1,0.9,18.5,0,0
"25","Ethiopia",2.3,1.6,1.1,0.8,0.2,0.2
"26","Gabon",3.8,0,1.3,15,1,0.2
"27","Gambia",47,15.7,7.1,11.2,0.4,0.2
"28","Ghana",21.7,0.9,13.4,8.9,1,0.2
"29","Guatemala",29.4,0.5,19.8,19.8,0.4,0.3
"30","Guinea",23.4,2.7,26.6,7.2,0.2,0.4
"31","Guyana",52.1,1.1,8.9,17.2,3.7,0
"32","Haiti",5.7,0.2,10.2,4.9,0.2,0.4
"33","Honduras",33.3,1.4,10.2,19.6,0.4,0.3
"34","India",52.1,3.6,37.7,6,0,0.2
"35","Indonesia",39.3,0.2,78.7,12.6,0.8,0.1
"36","Jordan",0,0,0,57.8,0,0
"37","Kazakhstan",14,0,9.1,26.7,0,0
"38","Kenya",19.9,2.2,9.5,6.2,0.4,0.3
"39","Kyrgyz Republic",24.4,8.9,1.2,46.2,0.1,0.2
"40","Lesotho",2.3,9.5,0.2,10.2,0,0.4
"41","Liberia",3,0,6.8,5,0,0.2
"42","Madagascar",17.6,8.6,4.7,1.4,0.4,0.2
"43","Malawi",35.7,2,2.8,2.2,0.3,0.5
"44","Maldives",41.3,0,59.9,5.3,3.5,0
"45","Mali",45.9,41.5,55.4,5.6,0.3,0.2
"46","Mauritania",0,0,0,7.5,0,0
"47","Moldova",27.2,0,5.8,22.5,0,0
"48","Morocco",25.4,0,11.3,14.1,0,0
"49","Mozambique",28.8,1.3,9.5,4.3,0.4,0.4
"50","Myanmar",42.2,16,50.2,5.1,0.9,0.3
"51","Namibia",13.5,7,1.8,26.7,0.5,0.4
"52","Nepal",37.3,3,18.6,3.3,0,0.3
"53","Nicaragua",25.7,0,2.1,10,0,0
"54","Niger",8.6,21.5,10.9,2,0,0.5
"55","Nigeria",12.5,3.1,27.5,9.3,0.6,0.3
"56","Pakistan",20.3,8.5,54.1,9.8,0.1,0.3
"57","Papua New Guinea",10.3,0.4,0.6,5.1,2.2,0.5
"58","Paraguay",0,0,0,0,0,0
"59","Peru",17.6,1,12.8,10.4,0.3,0
"60","Philippines",19.4,1.9,35.6,9.9,1.7,0.2
"61","Rwanda",12.1,0,1.5,1.3,0,0.3
"62","Sao Tome and Principe",13.6,0,7.3,5.7,0.4,0
"63","Senegal",12.7,24.1,12.5,9,1.7,0.3
"64","Sierra Leone",7.3,0.3,10.3,2.4,0.7,0.3
"65","South Africa",7.8,1.1,2.4,28.7,0.6,0.2
"66","Tajikistan",36.7,27.6,1.9,39.5,0.2,0.2
"67","Tanzania",38.8,3.3,11.2,2.9,0.4,0.3
"68","Timor-Leste",14.6,0.8,31.8,4.9,0.6,0.2
"69","Togo",25.4,1.1,36.8,3.9,0.2,0.5
"70","Turkey",0,0,6.7,37.6,0,0.2
"71","Turkmenistan",13.1,0,17.8,29,0,0
"72","Uganda",31.8,0.6,12.6,3.2,0.5,0.3
"73","Ukraine",40.4,2.1,8.9,26.4,1.3,0
"74","Uzbekistan",20,0,10.2,21.2,0,0
"75","Vietnam",77.4,4.2,55.9,1,5.9,0
"76","Yemen",10.5,1.3,12.7,20.9,0.8,0.2
"77","Zambia",37.8,4.7,2.6,6.7,0.3,0.4
"78","Zimbabwe",23.2,20.7,1.7,12.2,0.5,0.4
